Item,Method,Num Clusters,Silhouette Score
acc_x_r_asis_y_pca,pca,3,0.44929146905165784
acc_x_r_should_y_pca,pca,3,0.4710290823161158
acc_x_r_heel_y_pca,pca,3,0.5695831457851982
acc_x_l_heel_y_pca,pca,3,0.5745300902303018
acc_x_r_mall_y_pca,pca,3,0.5649000024106084
acc_x_l_mall_y_pca,pca,3,0.5710476695795332
acc_x_r_force_z_pca,pca,3,0.5331253132573686
acc_x_MIDASIS_y_pca,pca,3,0.44073896850022315
acc_x_PO_y_pca,pca,3,0.44073896850022315
acc_x_l_asis_y_pca,pca,3,0.4529779930579387
acc_x_SHO_y_pca,pca,3,0.4657847163743176
acc_x_c7_y_pca,pca,3,0.46298694099607024
acc_y_r_force_x_pca,pca,3,0.5866173446802312
acc_y_l_mall_y_pca,pca,3,0.5576176943253079
acc_y_l_heel_y_pca,pca,3,0.5666843450001715
acc_y_r_force_y_pca,pca,3,0.48930278877871475
acc_y_l_knee_1_y_pca,pca,3,0.5619483768403739
acc_y_r_knee_1_y_pca,pca,3,0.5360954211794684
acc_y_r_mall_y_pca,pca,3,0.4354974315797272
acc_y_r_heel_y_pca,pca,3,0.6238226020986927
acc_z_c7_y_pca,pca,3,0.5097747893939205
acc_z_SHO_y_pca,pca,3,0.4754117310911333
acc_z_MIDASIS_y_pca,pca,3,0.43838408157597936
acc_z_PO_y_pca,pca,3,0.43838408157597936
acc_z_l_asis_y_pca,pca,3,0.4591152661003873
acc_z_r_asis_y_pca,pca,3,0.41866391471512504
acc_z_sacrum_s_y_pca,pca,3,0.48899680135490553
acc_z_r_should_y_pca,pca,3,0.4422167675045912
acc_z_l_should_y_pca,pca,3,0.4392791167829924
acc_z_l_knee_1_y_pca,pca,3,0.437819122457031
acc_z_r_knee_1_y_pca,pca,3,0.5039340728478936
ang_acc_gyro_x_r_heel_y_pca,pca,3,0.5187727777190284
ang_acc_gyro_x_r_mall_y_pca,pca,3,0.48586801182934464
ang_acc_gyro_x_r_asis_y_pca,pca,3,0.40821425530597005
ang_acc_gyro_x_l_heel_y_pca,pca,3,0.529792469362397
ang_acc_gyro_y_c7_y_pca,pca,3,0.4594039442973091
ang_acc_gyro_y_l_asis_y_pca,pca,3,0.4328202740651753
ang_acc_gyro_y_sacrum_s_y_pca,pca,3,0.46832511190721465
ang_acc_gyro_y_r_force_z_pca,pca,3,0.5463531513843219
ang_acc_gyro_y_l_mall_y_pca,pca,3,0.38777302932612356
ang_acc_gyro_y_l_heel_y_pca,pca,3,0.431022325141274
ang_acc_gyro_z_l_heel_y_pca,pca,3,0.48076399410639886
ang_acc_gyro_z_l_mall_y_pca,pca,3,0.42864738540034475
ang_acc_gyro_z_r_heel_y_pca,pca,3,0.5375381501908114
