;0;1;2;3;4
c7_x;vel_x;vel_z;NaN;NaN;NaN
c7_y;acc_x;acc_z;gyro_y;mag_acc;pitch
c7_z;vel_x;vel_y;vel_z;NaN;NaN
r_should_x;vel_x;vel_z;NaN;NaN;NaN
r_should_y;gyro_y;pitch;yaw;NaN;NaN
r_should_z;vel_x;vel_y;vel_z;NaN;NaN
l_should_x;vel_x;vel_z;NaN;NaN;NaN
l_should_y;acc_z;vel_x;vel_y;vel_z;NaN
l_should_z;vel_x;vel_y;vel_z;NaN;NaN
sacrum_s_x;vel_x;vel_z;yaw;NaN;NaN
sacrum_s_y;gyro_y;pitch;vel_y;vel_z;NaN
sacrum_s_z;vel_x;vel_y;vel_z;NaN;NaN
r_asis_x;vel_x;vel_y;vel_z;NaN;NaN
r_asis_y;acc_z;gyro_y;yaw;NaN;NaN
r_asis_z;vel_x;vel_y;vel_z;NaN;NaN
l_asis_x;vel_x;vel_y;vel_z;NaN;NaN
l_asis_y;acc_z;gyro_y;vel_x;vel_y;vel_z
l_asis_z;vel_x;vel_y;vel_z;NaN;NaN
MIDASIS_x;vel_x;vel_y;vel_z;NaN;NaN
MIDASIS_y;acc_x;acc_z;gyro_y;mag_acc;vel_y
MIDASIS_z;vel_x;vel_y;vel_z;NaN;NaN
r_knee_1_x;vel_x;vel_y;vel_z;NaN;NaN
r_knee_1_y;gyro_x;gyro_z;mag_gyro;roll;NaN
r_knee_1_z;vel_x;vel_y;vel_z;NaN;NaN
l_knee_1_x;vel_x;vel_y;vel_z;NaN;NaN
l_knee_1_y;acc_z;gyro_x;gyro_y;gyro_z;pitch
l_knee_1_z;vel_x;vel_y;vel_z;NaN;NaN
r_mall_x;vel_x;vel_z;NaN;NaN;NaN
r_mall_y;acc_y;ang_acc_gyro_x;roll;vel_y;yaw
r_mall_z;vel_x;vel_y;vel_z;NaN;NaN
l_mall_x;vel_x;vel_y;vel_z;NaN;NaN
l_mall_y;ang_acc_gyro_y;ang_acc_gyro_z;yaw;NaN;NaN
l_mall_z;vel_x;vel_y;vel_z;NaN;NaN
r_heel_x;vel_x;vel_z;NaN;NaN;NaN
r_heel_y;acc_y;ang_acc_gyro_x;roll;vel_y;yaw
r_heel_z;vel_x;vel_y;vel_z;NaN;NaN
l_heel_x;vel_x;vel_y;vel_z;NaN;NaN
l_heel_y;ang_acc_gyro_y;ang_acc_gyro_z;yaw;NaN;NaN
l_heel_z;vel_x;vel_y;vel_z;NaN;NaN
r_met_x;gyro_x;mag_gyro;vel_x;vel_z;NaN
r_met_y;gyro_x;gyro_z;mag_gyro;NaN;NaN
r_met_z;vel_x;vel_y;vel_z;NaN;NaN
l_met_x;vel_x;vel_z;NaN;NaN;NaN
l_met_y;gyro_z;NaN;NaN;NaN;NaN
l_met_z;vel_x;vel_y;vel_z;NaN;NaN
SHO_x;vel_x;vel_z;NaN;NaN;NaN
SHO_y;acc_z;gyro_y;pitch;vel_y;vel_z
SHO_z;vel_x;vel_y;vel_z;NaN;NaN
PO_x;vel_x;vel_y;vel_z;NaN;NaN
PO_y;acc_x;acc_z;gyro_y;mag_acc;vel_y
PO_z;vel_x;vel_y;vel_z;NaN;NaN
r_force_x;gyro_x;gyro_z;mag_gyro;NaN;NaN
r_force_y;gyro_x;gyro_z;yaw;NaN;NaN
r_force_z;vel_y;yaw;NaN;NaN;NaN
l_force_z;gyro_x;mag_gyro;roll;NaN;NaN
