;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
acc_x;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_heel_z;l_knee_1_z;l_mall_z;l_met_z;l_should_y;l_should_z;r_asis_z;r_force_x;r_heel_z;r_knee_1_z;r_mall_z;r_met_z;r_should_z;sacrum_s_z;;;;;
acc_y;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_should_z;r_asis_z;r_force_x;r_heel_z;r_knee_1_z;r_mall_z;r_met_z;r_should_z;sacrum_s_z;;;;;;;;;;
acc_z;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_heel_x;l_heel_y;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_x;l_mall_y;l_mall_z;l_met_x;l_met_z;l_should_z;r_asis_z;r_knee_1_z;r_should_z;sacrum_s_z;;;;
gyro_x;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_heel_x;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_x;l_mall_z;l_met_x;l_met_z;l_should_z;r_asis_z;r_heel_z;r_knee_1_x;r_knee_1_z;r_mall_z;r_met_z;r_should_y;r_should_z;sacrum_s_z;
gyro_y;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_heel_x;l_heel_y;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_x;l_mall_y;l_mall_z;l_met_x;l_met_z;l_should_z;r_asis_z;r_heel_z;r_knee_1_z;r_mall_z;r_met_z;r_should_y;r_should_z;sacrum_s_z
gyro_z;l_heel_x;l_knee_1_x;l_knee_1_y;l_mall_x;l_met_x;;;;;;;;;;;;;;;;;;;
roll;MIDASIS_z;PO_z;SHO_x;SHO_z;c7_x;c7_z;l_asis_z;l_mall_z;l_met_z;l_should_x;l_should_y;l_should_z;r_asis_z;r_force_x;r_knee_1_z;r_should_x;r_should_z;sacrum_s_z;;;;;;
pitch;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_heel_x;l_heel_y;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_x;l_mall_y;l_mall_z;l_met_x;l_met_z;l_should_z;r_asis_z;r_heel_z;r_knee_1_z;r_mall_z;r_met_z;r_should_z;sacrum_s_z;
yaw;MIDASIS_z;PO_z;SHO_x;SHO_z;c7_x;c7_z;l_asis_z;l_heel_z;l_knee_1_z;l_mall_z;l_met_z;l_should_x;l_should_y;l_should_z;r_asis_z;r_force_x;r_heel_z;r_knee_1_z;r_mall_z;r_met_z;r_should_z;sacrum_s_z;;
vel_x;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_heel_x;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_x;l_mall_z;l_met_x;l_met_z;l_should_z;r_asis_z;r_heel_z;r_knee_1_x;r_knee_1_z;r_mall_z;r_met_z;r_should_y;r_should_z;sacrum_s_z;
vel_y;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_heel_x;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_x;l_mall_z;l_met_x;l_met_z;l_should_z;r_asis_z;r_heel_z;r_knee_1_x;r_knee_1_z;r_mall_z;r_met_z;r_should_y;r_should_z;sacrum_s_z;
