;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
c7_x;ang_acc_gyro_y;roll;yaw;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
c7_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
c7_z;acc_x;acc_y;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_y;pos_z;roll;vel_x;vel_y;vel_z;yaw
r_should_x;roll;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
r_should_y;gyro_x;gyro_y;mag_gyro;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
r_should_z;acc_x;acc_y;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_y;pos_z;roll;vel_x;vel_y;vel_z;yaw
l_should_x;ang_acc_gyro_y;roll;yaw;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_should_y;acc_x;ang_acc_gyro_y;ang_acc_gyro_z;mag_acc;pos_x;roll;yaw;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_should_z;acc_x;acc_y;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_y;pos_z;roll;vel_x;vel_y;vel_z;yaw
sacrum_s_z;acc_x;acc_y;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_y;pos_z;roll;vel_x;vel_y;vel_z;yaw
r_asis_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
