;0;1;2;3;4;5;6;7
c7_x;acc_y;pos_y;roll;yaw;NaN;NaN;NaN;NaN
c7_y;acc_x;ang_acc_gyro_y;mag_acc;pos_x;NaN;NaN;NaN;NaN
c7_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
r_should_x;acc_y;ang_acc_gyro_x;pos_y;roll;yaw;NaN;NaN;NaN
r_should_y;acc_x;ang_acc_gyro_y;mag_acc;pos_x;vel_x;vel_z;yaw;NaN
r_should_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
l_should_x;acc_y;ang_acc_gyro_x;pos_y;roll;yaw;NaN;NaN;NaN
l_should_y;acc_x;mag_acc;pos_x;roll;NaN;NaN;NaN;NaN
l_should_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
sacrum_s_x;acc_y;ang_acc_gyro_x;pos_y;roll;yaw;NaN;NaN;NaN
sacrum_s_y;acc_x;ang_acc_gyro_y;mag_acc;pos_x;NaN;NaN;NaN;NaN
sacrum_s_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
r_asis_x;acc_y;gyro_x;gyro_z;pitch;pos_y;vel_x;vel_z;yaw
r_asis_y;acc_x;ang_acc_gyro_y;mag_acc;pos_x;vel_z;yaw;NaN;NaN
r_asis_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
l_asis_x;acc_y;gyro_x;gyro_z;pitch;pos_y;vel_x;vel_z;yaw
l_asis_y;acc_x;ang_acc_gyro_y;mag_acc;pos_x;NaN;NaN;NaN;NaN
l_asis_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
MIDASIS_x;acc_y;gyro_x;gyro_z;pitch;pos_y;vel_x;vel_z;yaw
MIDASIS_y;acc_x;ang_acc_gyro_y;mag_acc;pos_x;vel_z;NaN;NaN;NaN
MIDASIS_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
r_knee_1_x;acc_x;mag_acc;mag_gyro;pos_x;vel_x;vel_y;vel_z;NaN
r_knee_1_y;acc_y;gyro_x;gyro_y;gyro_z;pitch;pos_y;vel_y;NaN
r_knee_1_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
l_knee_1_x;ang_acc_gyro_y;gyro_x;mag_gyro;pitch;roll;vel_y;NaN;NaN
l_knee_1_y;acc_x;acc_y;gyro_x;gyro_z;mag_gyro;pitch;pos_x;pos_y
l_knee_1_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
r_mall_x;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
r_mall_y;ang_acc_gyro_z;gyro_y;yaw;NaN;NaN;NaN;NaN;NaN
r_mall_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
l_mall_y;roll;yaw;NaN;NaN;NaN;NaN;NaN;NaN
l_mall_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
r_heel_x;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
r_heel_y;ang_acc_gyro_z;gyro_y;yaw;NaN;NaN;NaN;NaN;NaN
r_heel_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
l_heel_y;roll;yaw;NaN;NaN;NaN;NaN;NaN;NaN
l_heel_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
r_met_x;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
r_met_y;gyro_x;pitch;vel_y;NaN;NaN;NaN;NaN;NaN
r_met_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
l_met_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
SHO_x;acc_y;ang_acc_gyro_x;pos_y;roll;yaw;NaN;NaN;NaN
SHO_y;acc_x;ang_acc_gyro_y;mag_acc;pos_x;vel_z;NaN;NaN;NaN
SHO_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
PO_x;acc_y;gyro_x;gyro_z;pitch;pos_y;vel_x;vel_z;yaw
PO_y;acc_x;ang_acc_gyro_y;mag_acc;pos_x;vel_z;NaN;NaN;NaN
PO_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
r_force_x;acc_y;gyro_x;pitch;pos_y;yaw;NaN;NaN;NaN
r_force_y;acc_y;pitch;pos_y;yaw;NaN;NaN;NaN;NaN
r_force_z;gyro_x;mag_gyro;roll;NaN;NaN;NaN;NaN;NaN
l_force_x;yaw;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_force_y;yaw;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_force_z;gyro_y;pitch;vel_y;NaN;NaN;NaN;NaN;NaN
