imu,kinematic,lag,corr
acc_x,l_knee_1_x,-22,0.6268147555552236
acc_x,l_heel_y,4,0.5684068837491791
acc_x,l_mall_y,2,0.5472602359365436
acc_x,r_force_z,14,-0.5260636036533558
acc_x,l_asis_y,100,-0.9316025486061456
acc_y,l_mall_y,44,0.78278217012194
acc_y,l_heel_y,45,0.7698908155693891
acc_y,r_force_x,-82,0.710602610500917
acc_y,r_force_y,-69,0.6814370802552527
acc_y,l_force_y,-74,-0.6126622087897392
acc_y,c7_x,-16,-0.7547750518930468
acc_y,r_asis_x,-43,-0.7561727396778002
acc_y,MIDASIS_x,-32,-0.7663160042852287
acc_y,PO_x,-32,-0.7663160042852287
acc_y,SHO_x,15,-0.7689046691668528
acc_y,l_should_x,11,-0.7718149103011194
acc_y,r_should_x,13,-0.772348190502253
acc_y,l_asis_x,-35,-0.7759309724990112
acc_y,sacrum_s_x,65,-0.7892413753214405
acc_y,r_heel_y,41,-0.8365337459081813
acc_y,r_mall_y,39,-0.8491395266263042
acc_z,l_asis_y,35,0.9310487660881362
acc_z,MIDASIS_y,32,0.8984094548727458
acc_z,PO_y,32,0.8984094548727458
acc_z,SHO_y,27,0.8876214933094837
acc_z,c7_y,31,0.8780940188572195
acc_z,sacrum_s_y,35,0.8137493982622129
acc_z,r_asis_y,31,0.774462109126535
acc_z,l_should_y,29,0.7484765128840284
acc_z,r_should_y,27,0.7014989980929266
ang_acc_gyro_x,r_heel_y,20,0.6668743898321813
ang_acc_gyro_x,r_mall_y,19,0.6567924516303146
ang_acc_gyro_x,r_knee_1_x,0,-0.5126575893274864
ang_acc_gyro_y,MIDASIS_y,100,0.806792762970558
ang_acc_gyro_y,PO_y,100,0.806792762970558
ang_acc_gyro_y,c7_y,100,0.7757358874283427
ang_acc_gyro_y,l_knee_1_x,1,-0.5162558028541963
ang_acc_gyro_y,sacrum_s_y,-31,-0.7063577817805342
ang_acc_gyro_y,l_asis_y,-29,-0.793834840566895
ang_acc_gyro_z,l_mall_y,-23,0.6724983628677325
ang_acc_gyro_z,l_heel_y,-23,0.671864692122674
ang_acc_gyro_z,sacrum_s_x,12,-0.5201816543175363
ang_acc_gyro_z,r_heel_y,-18,-0.5270678630067998
ang_acc_gyro_z,r_mall_y,-19,-0.5457215521499995
gyro_x,MIDASIS_x,58,0.8263571911055199
gyro_x,PO_x,58,0.8263571911055199
gyro_x,r_asis_x,58,0.8254670992368879
gyro_x,l_asis_x,54,0.8104751604867274
gyro_x,r_knee_1_y,-9,0.8002971374132083
gyro_x,l_force_z,-79,0.7459437603019524
gyro_x,r_met_y,-57,0.6163860284031677
gyro_x,l_knee_1_y,9,-0.6888188947708639
gyro_x,r_force_x,94,-0.7961684825651458
gyro_x,r_force_y,100,-0.8267673039566122
gyro_y,r_knee_1_x,18,0.6558576813950779
gyro_y,l_knee_1_y,21,-0.6634585406362683
gyro_y,r_should_y,17,-0.7550259592696664
gyro_y,r_asis_y,23,-0.7756193800675286
gyro_y,sacrum_s_y,35,-0.8035178089847654
gyro_y,l_asis_y,34,-0.8043905318743437
gyro_y,c7_y,28,-0.8263189495970964
gyro_y,MIDASIS_y,27,-0.8336340760689438
gyro_y,PO_y,27,-0.8336340760689438
gyro_y,SHO_y,24,-0.8524705812046013
gyro_z,r_force_y,69,0.8998036940395624
gyro_z,r_force_x,54,0.8651193193481405
gyro_z,l_knee_1_y,-36,0.7422859378593304
gyro_z,l_met_y,31,0.7388109183312801
gyro_z,l_force_z,-24,-0.5897699444540723
gyro_z,r_knee_1_y,-41,-0.6826617071046962
gyro_z,r_met_y,31,-0.753489953582945
gyro_z,l_asis_x,31,-0.8083158658574642
gyro_z,MIDASIS_x,32,-0.8311627355426376
gyro_z,PO_x,32,-0.8311627355426376
gyro_z,c7_x,71,-0.8464033810276516
gyro_z,r_asis_x,32,-0.8484349933307583
jerk_x,l_knee_1_y,0,-0.5189003193768573
jerk_x,r_should_y,23,-0.585003603050325
jerk_x,r_asis_y,26,-0.6770074481472961
jerk_x,l_should_y,24,-0.7642039920992959
jerk_x,sacrum_s_y,28,-0.781619111375027
jerk_x,SHO_y,23,-0.8175410913945615
jerk_x,MIDASIS_y,28,-0.8240285057421509
jerk_x,PO_y,28,-0.8240285057421509
jerk_x,c7_y,26,-0.8294484709748079
jerk_x,l_asis_y,32,-0.9043791689440989
mag_acc,l_knee_1_x,-23,0.6406659215474556
mag_acc,l_heel_y,2,0.600080111183148
mag_acc,l_mall_y,1,0.5780785609711477
mag_acc,r_force_z,13,-0.5289660147607235
mag_acc,l_asis_y,99,-0.9344674267107965
mag_gyro,r_force_y,100,0.8611598995300596
mag_gyro,r_force_x,84,0.8180900952530531
mag_gyro,l_knee_1_y,0,0.7363905016965524
mag_gyro,l_met_y,62,0.6419698429711386
mag_gyro,r_met_y,0,-0.5908084201535238
mag_gyro,l_force_z,-70,-0.7011631946364049
mag_gyro,r_knee_1_y,-9,-0.7684376438516963
mag_gyro,l_asis_x,50,-0.853248423115289
mag_gyro,MIDASIS_x,54,-0.8657997612130577
mag_gyro,PO_x,54,-0.8657997612130577
mag_gyro,r_asis_x,53,-0.867012664248112
mag_gyro,c7_x,91,-0.8702579498511156
pitch,l_asis_x,55,0.7329167956762532
pitch,r_asis_x,56,0.7315464454130547
pitch,MIDASIS_x,60,0.7209178533373151
pitch,PO_x,60,0.7209178533373151
pitch,r_met_z,0,0.6236517436427307
pitch,r_heel_z,0,0.6192300815425745
pitch,r_mall_z,0,0.6166596600434373
pitch,r_knee_1_z,100,0.5787674058173041
pitch,l_force_z,28,0.5668882682965833
pitch,r_knee_1_y,13,0.5231632770753248
pitch,l_knee_1_y,1,-0.6515102998635984
pos_x,l_knee_1_x,-22,0.6268147555471456
pos_x,l_heel_y,4,0.5684068837482743
pos_x,l_mall_y,2,0.5472602359360841
pos_x,r_force_z,14,-0.5260636036523691
pos_x,l_asis_y,100,-0.9316025486072481
pos_y,l_mall_y,44,0.7827821701219033
pos_y,l_heel_y,45,0.7698908155693638
pos_y,r_force_x,-82,0.7106026105008907
pos_y,r_force_y,-69,0.6814370802551767
pos_y,l_force_y,-74,-0.612662208789679
pos_y,c7_x,-16,-0.7547750518929934
pos_y,r_asis_x,-43,-0.7561727396777091
pos_y,MIDASIS_x,-32,-0.7663160042851124
pos_y,PO_x,-32,-0.7663160042851124
pos_y,SHO_x,15,-0.7689046691667523
pos_y,l_should_x,11,-0.7718149103010223
pos_y,r_should_x,13,-0.7723481905021513
pos_y,l_asis_x,-35,-0.7759309724988629
pos_y,sacrum_s_x,65,-0.7892413753213499
pos_y,r_heel_y,41,-0.8365337459082631
pos_y,r_mall_y,39,-0.8491395266263662
pos_z,l_asis_y,35,0.9310487660886102
pos_z,MIDASIS_y,32,0.8984094548734707
pos_z,PO_y,32,0.8984094548734707
pos_z,SHO_y,27,0.8876214933098544
pos_z,c7_y,31,0.8780940188576681
pos_z,sacrum_s_y,35,0.8137493982621989
pos_z,r_asis_y,31,0.7744621091275025
pos_z,l_should_y,29,0.7484765128835288
pos_z,r_should_y,27,0.7014989980938405
roll,r_knee_1_y,33,0.7668357612956832
roll,l_force_z,8,0.6983164834555984
roll,sacrum_s_x,-17,-0.5966283326896661
roll,r_mall_y,-39,-0.9318069529510683
roll,r_heel_y,-36,-0.9506495823882333
vel_x,SHO_z,0,0.9997163197921424
vel_x,c7_z,0,0.9996957198314658
vel_x,MIDASIS_z,0,0.9996819079345485
vel_x,PO_z,0,0.9996819079345485
