;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
acc_x;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_knee_1_y;l_should_y;r_asis_y;r_knee_1_x;r_should_y;sacrum_s_y;;;;;;;;;;;;;;;;;;;
acc_y;MIDASIS_x;PO_x;SHO_x;c7_x;l_asis_x;l_knee_1_y;l_should_x;r_asis_x;r_force_x;r_force_y;r_knee_1_y;r_should_x;sacrum_s_x;;;;;;;;;;;;;;;;;
gyro_x;MIDASIS_x;PO_x;l_asis_x;l_knee_1_x;l_knee_1_y;r_asis_x;r_force_x;r_force_z;r_knee_1_y;r_met_y;;;;;;;;;;;;;;;;;;;;
gyro_y;l_force_z;r_heel_y;r_knee_1_y;r_mall_y;;;;;;;;;;;;;;;;;;;;;;;;;;
gyro_z;MIDASIS_x;PO_x;l_asis_x;l_knee_1_y;r_asis_x;r_knee_1_y;;;;;;;;;;;;;;;;;;;;;;;;
roll;SHO_x;c7_x;l_heel_y;l_knee_1_x;l_mall_y;l_should_x;l_should_y;r_force_z;r_should_x;sacrum_s_x;;;;;;;;;;;;;;;;;;;;
pitch;MIDASIS_x;PO_x;l_asis_x;l_force_z;l_knee_1_x;l_knee_1_y;r_asis_x;r_force_x;r_force_y;r_knee_1_y;r_met_y;;;;;;;;;;;;;;;;;;;
yaw;MIDASIS_x;PO_x;SHO_x;c7_x;l_asis_x;l_force_x;l_force_y;l_heel_y;l_mall_y;l_should_x;r_asis_x;r_asis_y;r_force_x;r_force_y;r_heel_y;r_mall_y;r_should_x;r_should_y;sacrum_s_x;;;;;;;;;;;
vel_x;MIDASIS_x;MIDASIS_z;PO_x;PO_z;SHO_z;c7_z;l_asis_x;l_asis_z;l_heel_z;l_knee_1_z;l_mall_z;l_met_z;l_should_z;r_asis_x;r_asis_z;r_heel_x;r_heel_z;r_knee_1_x;r_knee_1_z;r_mall_x;r_mall_z;r_met_x;r_met_z;r_should_y;r_should_z;sacrum_s_z;;;;
vel_y;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_force_z;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_z;l_met_z;l_should_z;r_asis_z;r_heel_x;r_heel_z;r_knee_1_x;r_knee_1_y;r_knee_1_z;r_mall_x;r_mall_z;r_met_x;r_met_y;r_met_z;r_should_z;sacrum_s_z;;;;;
vel_z;MIDASIS_x;MIDASIS_y;MIDASIS_z;PO_x;PO_y;PO_z;SHO_y;SHO_z;c7_z;l_asis_x;l_asis_z;l_heel_z;l_knee_1_z;l_mall_z;l_met_z;l_should_z;r_asis_x;r_asis_y;r_asis_z;r_heel_x;r_heel_z;r_knee_1_x;r_knee_1_z;r_mall_x;r_mall_z;r_met_x;r_met_z;r_should_y;r_should_z;sacrum_s_z
ang_acc_gyro_x;SHO_x;l_should_x;r_should_x;sacrum_s_x;;;;;;;;;;;;;;;;;;;;;;;;;;
ang_acc_gyro_y;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_knee_1_x;r_asis_y;r_should_y;sacrum_s_y;;;;;;;;;;;;;;;;;;;;;
ang_acc_gyro_z;r_heel_y;r_mall_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mag_acc;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_should_y;r_asis_y;r_knee_1_x;r_should_y;sacrum_s_y;;;;;;;;;;;;;;;;;;;;
mag_gyro;l_knee_1_x;l_knee_1_y;r_force_z;r_knee_1_x;;;;;;;;;;;;;;;;;;;;;;;;;;
pos_x;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_knee_1_y;l_should_y;r_asis_y;r_knee_1_x;r_should_y;sacrum_s_y;;;;;;;;;;;;;;;;;;;
pos_y;MIDASIS_x;PO_x;SHO_x;c7_x;l_asis_x;l_knee_1_y;l_should_x;r_asis_x;r_force_x;r_force_y;r_knee_1_y;r_should_x;sacrum_s_x;;;;;;;;;;;;;;;;;
