group,imu,point,corr
trunk,acc_x,MIDASIS_y,0.5233250166672225
additional_points,acc_x,PO_y,0.5233250166672225
head_neck,acc_x,c7_y,0.5176251761078318
trunk,acc_x,r_asis_y,0.4921309823772972
trunk,acc_x,l_asis_y,0.4906852031057169
feet,acc_x,r_heel_y,0.4878703166014566
lower_legs,acc_x,r_mall_y,0.4582751871032222
feet,acc_x,l_heel_y,0.4426317465960379
additional_points,acc_x,SHO_y,0.42667811355722257
upper_body,acc_x,r_should_y,0.4263393147059853
lower_legs,acc_x,l_mall_y,0.4116154384272429
force,acc_x,r_force_z,-0.4631308202902924
force,acc_y,r_force_y,0.49752364738949445
lower_legs,acc_y,l_mall_y,0.4727079324226537
feet,acc_y,l_heel_y,0.4667548725620592
force,acc_y,r_force_x,0.43819813846247047
upper_legs,acc_y,l_knee_1_y,0.4101930368409893
upper_legs,acc_y,r_knee_1_y,-0.42224537121063027
feet,acc_y,r_heel_y,-0.5402511655713323
lower_legs,acc_y,r_mall_y,-0.5751894381827355
head_neck,acc_z,c7_y,0.6259116317095088
additional_points,acc_z,SHO_y,0.6191038994101979
upper_legs,acc_z,l_knee_1_y,0.5860824783593344
trunk,acc_z,MIDASIS_y,0.5823556559888252
additional_points,acc_z,PO_y,0.5823556559888252
trunk,acc_z,r_asis_y,0.5646666048392518
trunk,acc_z,l_asis_y,0.5364072712209494
upper_body,acc_z,l_should_y,0.5008041067208575
trunk,acc_z,sacrum_s_y,0.4969517912901547
upper_body,acc_z,r_should_y,0.46463269211086444
upper_legs,acc_z,r_knee_1_y,0.4467413213125133
lower_legs,ang_acc_gyro_x,r_mall_y,0.5334478180111318
feet,ang_acc_gyro_x,r_heel_y,0.5280359312176929
trunk,ang_acc_gyro_x,r_asis_y,0.4052997100692063
feet,ang_acc_gyro_x,l_heel_y,-0.40545957286902534
force,ang_acc_gyro_y,r_force_z,0.4075238112068423
trunk,ang_acc_gyro_y,l_asis_y,-0.4185142884042445
trunk,ang_acc_gyro_y,sacrum_s_y,-0.4204658690274439
head_neck,ang_acc_gyro_y,c7_y,-0.48935288464065607
lower_legs,ang_acc_gyro_y,l_mall_y,-0.5358424300391619
feet,ang_acc_gyro_y,l_heel_y,-0.5474137858721578
lower_legs,ang_acc_gyro_z,l_mall_y,0.6059122553685024
feet,ang_acc_gyro_z,l_heel_y,0.6021639854057806
lower_legs,ang_acc_gyro_z,r_mall_y,-0.45813395950339364
feet,ang_acc_gyro_z,r_heel_y,-0.46133923339744387
upper_legs,gyro_x,r_knee_1_y,0.7616006378297387
feet,gyro_x,r_met_y,0.6176599724882408
force,gyro_x,l_force_z,0.5133089665067307
force,gyro_x,l_force_y,0.42954884738689264
feet,gyro_x,r_met_z,0.40540387423672813
feet,gyro_x,r_heel_x,-0.4523581300418192
feet,gyro_x,l_met_y,-0.4677508191887293
lower_legs,gyro_x,r_mall_x,-0.4754668252406396
force,gyro_x,r_force_y,-0.5133878256879463
feet,gyro_x,r_met_x,-0.5636902870343405
force,gyro_x,r_force_x,-0.5780839861077246
upper_legs,gyro_x,l_knee_1_y,-0.6209439255304062
force,gyro_y,r_force_z,-0.4132872484784729
upper_body,gyro_y,l_should_y,-0.44693830931742906
trunk,gyro_y,l_asis_y,-0.5704957221461497
trunk,gyro_y,sacrum_s_y,-0.6358979234652057
trunk,gyro_y,MIDASIS_y,-0.6772858341934377
additional_points,gyro_y,PO_y,-0.6772858341934377
upper_body,gyro_y,r_should_y,-0.6775714975763107
head_neck,gyro_y,c7_y,-0.6859518699688407
additional_points,gyro_y,SHO_y,-0.6937830407196411
trunk,gyro_y,r_asis_y,-0.7107414222022432
