;0;1;2;3;4;5;6;7;8;9;10;11
c7_x;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
c7_y;acc_x;acc_z;ang_acc_gyro_y;gyro_y;jerk_x;mag_acc;pitch;pos_x;pos_z;vel_y;vel_z;NaN
c7_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
r_should_x;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
r_should_y;acc_x;acc_z;gyro_y;mag_acc;pitch;pos_x;pos_z;roll;vel_y;yaw;NaN;NaN
r_should_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_should_x;vel_x;vel_y;vel_z;yaw;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_should_y;acc_z;gyro_y;jerk_x;pos_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN
l_should_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
sacrum_s_x;vel_x;vel_z;yaw;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
sacrum_s_y;acc_z;ang_acc_gyro_y;gyro_y;jerk_x;pitch;pos_z;vel_x;vel_y;vel_z;NaN;NaN;NaN
sacrum_s_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
r_asis_x;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
r_asis_y;acc_x;acc_z;ang_acc_gyro_x;gyro_y;jerk_x;mag_acc;pitch;pos_x;pos_z;vel_y;yaw;NaN
r_asis_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_asis_x;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_asis_y;acc_x;acc_z;ang_acc_gyro_y;gyro_y;jerk_x;mag_acc;pitch;pos_x;pos_z;vel_x;vel_y;vel_z
